D:\bf2editor\Code\BF2\Core\Profiler.cpp(720): Calibration of profiler took:8.50036e-006 seconds
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/sound_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/sound_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/sound_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/sound_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/sound_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/sound_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/sound_client.zip"
D:\bf2editor\Code\BF2\IO\Console\Console.cpp(1402): (0) Wrong syntax!: --- CHRISTMAS EVENT ---  (clientarchives.con)
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/seasonal/christmas/menu_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/seasonal/christmas/menu_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/seasonal/christmas/menu_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/seasonal/christmas/menu_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/seasonal/christmas/menu_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/seasonal/christmas/menu_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/seasonal/christmas/menu_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/seasonal/christmas/sound_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/seasonal/christmas/sound_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/seasonal/christmas/sound_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/seasonal/christmas/sound_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/seasonal/christmas/sound_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/seasonal/christmas/sound_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/seasonal/christmas/sound_christmas_client.zip"
D:\bf2editor\Code\BF2\IO\Console\Console.cpp(1402): (0) Wrong syntax!: --- BASE GAME ---  (clientarchives.con)
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/kits_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/kits_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/kits_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/kits_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/kits_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/kits_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/kits_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/roads_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/roads_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/roads_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/roads_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/roads_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/roads_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/roads_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/soldiers_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/soldiers_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/soldiers_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/soldiers_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/soldiers_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/soldiers_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/soldiers_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/water_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/water_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/water_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/water_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/water_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/water_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/water_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/vegitation_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/vegitation_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/vegitation_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/vegitation_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/vegitation_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/vegitation_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/vegitation_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/weapons_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/weapons_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/weapons_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/weapons_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/weapons_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/weapons_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/weapons_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/vehicles_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/vehicles_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/vehicles_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/vehicles_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/vehicles_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/vehicles_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/vehicles_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/items_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/items_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/items_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/items_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/items_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/items_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/items_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\FileManager.cpp(692): mountArchive:common_client.zip path:common/
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/menu_client.zip"
D:\bf2editor\Code\BF2\IO\File\FileManager.cpp(692): mountArchive:menu_client.zip path:menu/
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/fonts_client.zip"
D:\bf2editor\Code\BF2\IO\File\FileManager.cpp(692): mountArchive:fonts_client.zip path:fonts/
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/sound_client.zip"
D:\bf2editor\Code\BF2\IO\File\FileManager.cpp(692): mountArchive:sound_client.zip path:sound/
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/staticobjects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/objects/staticobjects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/staticobjects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/staticobjects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/staticobjects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/objects/staticobjects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/objects/staticobjects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/vehicles_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/objects/vehicles_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/vehicles_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/vehicles_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/vehicles_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/objects/vehicles_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/objects/vehicles_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/common_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/effects_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/kits_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/kits_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/kits_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/kits_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/objects/kits_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/objects/kits_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "objects/kits_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/objects/roads_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/objects/roads_server.zip"
